,category,Liczba wystąpień,Kategoria obietnicy wyborczej,Sentyment
0,defense and security,19,Obronność i bezpieczeństwo,-1
1,defense and security,8,Obronność i bezpieczeństwo,1
2,education,175,Edukacja,-1
3,education,68,Edukacja,1
4,foreign policy,43,Polityka zagraniczna,-1
5,foreign policy,18,Polityka zagraniczna,1
6,healhcare,706,Służba zdrowia,-1
7,healhcare,659,Służba zdrowia,1
8,immigration,68,Imigracja,-1
9,immigration,16,Imigracja,1
10,infrastructure and enviroment,152,Infrastruktura i środowisko,-1
11,infrastructure and enviroment,52,Infrastruktura i środowisko,1
12,political and legal system,1666,System polityczny i prawny,-1
13,political and legal system,946,System polityczny i prawny,1
14,society,1758,Społeczeństwo,-1
15,society,409,Społeczeństwo,1
16,welfare,1111,Dobrobyt,-1
17,welfare,1106,Dobrobyt,1
